Pedido,Fecha de compra,Fecha llegada,Tiempo en llegar,Fecha de venta,equipo,deporte,version,temporada,liga,Jugador,Talla,Proveedor,Costo,Costo de envio,Costo total,Venta,Ganancia,
19,3/1/2026,,,,Cruz Azul,Futbol,Alternativa,2025/2026,LigaMx,Sin nombre,L,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Cruz Azul,Futbol,Alternativa,2025/2026,LigaMx,Sin nombre,L,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Cruz Azul,Futbol,Alternativa,2025/2026,LigaMx,Sin nombre,XL,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Cruz Azul,Futbol,Alternativa,2025/2026,LigaMx,Sin nombre,XL,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,DIM,Futbol,Local,2025/2026,Colombia,Sin nombre,L,Alibaba,6,7.67,13.67,,-13.67,
19,3/1/2026,,,,Pittsburgh Steelers,NFL,Visitante,2025/2026,NFL,WATT,XS,Alibaba,18,7.67,25.67,,-25.67,
19,3/1/2026,,,,Portugal,Futbol,Local,2025/2026,Selecciones,Ronaldo,M,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Portugal,Futbol,Local,2025/2026,Selecciones,Ronaldo,L,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Portugal,Futbol,Local,2025/2026,Selecciones,Ronaldo,L,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Argentina,Futbol,Local,2025/2026,Selecciones,Messi,M,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Argentina,Futbol,Local,2025/2026,Selecciones,Messi,M,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Argentina,Futbol,Local,2025/2026,Selecciones,Messi,L,Alibaba,8,7.67,15.67,,-15.67,
19,3/1/2026,,,,Argentina,Futbol,Local,2025/2026,Selecciones,Messi,L,Alibaba,8,7.67,15.67,,-15.67,
20,3/2/2026,3/7/2026,5,,Cruz Azul,Futbol,Visitante,2025/2026,LigaMx,Sin nombre,L,Tiktok,,,0,,0,
20,3/2/2026,3/7/2026,5,,Cruz Azul,Futbol,Visitante,2025/2027,LigaMx,Sin nombre,L,Tiktok,,,0,,0,
20,3/2/2026,3/7/2026,5,,Cruz Azul,Futbol,Visitante,2025/2028,LigaMx,Sin nombre,XL,Tiktok,,,0,,0,
20,3/2/2026,3/7/2026,5,,Cruz Azul,Futbol,Visitante,2025/2029,LigaMx,Sin nombre,M,Tiktok,,,0,,0,
20,3/2/2026,3/7/2026,5,,Cruz Azul,Futbol,Visitante,2025/2030,LigaMx,Sin nombre,M,Tiktok,,,0,,0,
